,smiles_string,prop,value
0,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,p_exp_CO2,-6.026872146
1,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,p_exp_N2,-6.823908741
2,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,p_exp_O2,-6.585026652
3,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,p_exp_CO2,-7.468521083
4,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,p_exp_N2,-8.958607315
5,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,p_exp_O2,-8.346787486
6,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,p_exp_CO2,-8.677780705
7,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,p_exp_N2,-10.55284197
8,[*]/C(=C(/[*])c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,p_exp_O2,-9.602059991
9,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,p_exp_CH4,-7.619788758
10,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,p_exp_CO2,-6.886056648
11,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,p_exp_H2,-7.27572413
12,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,p_exp_He,-7.501689446
13,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,p_exp_N2,-8.040958608
14,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,p_exp_O2,-7.638272164
15,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,p_exp_CH4,-7.13667714
16,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,p_exp_CO2,-6.48148606
17,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,p_exp_H2,-6.920818754
18,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,p_exp_He,-7.251811973
19,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,p_exp_N2,-7.602059991
20,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,p_exp_O2,-7.207608311
21,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,p_exp_CH4,-6.823908741
22,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,p_exp_CO2,-6.332547047
23,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,p_exp_H2,-6.677780705
24,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,p_exp_He,-7
25,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,p_exp_N2,-7.271646218
26,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,p_exp_O2,-6.93930216
27,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,p_exp_CH4,-9.253365801
28,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,p_exp_CO2,-8.103473783
29,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,p_exp_H2,-8.286509457
30,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,p_exp_He,-8.48148606
31,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,p_exp_N2,-9.555955204
32,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,p_exp_O2,-8.91721463
