,smiles_string,prop,value
1,[*]=C=C=C(CCCCOC(=O)NC(C)C)C(=[*])CCCCOC(=O)NC(C)C,Egc,0.9608
2,[*]C#CC#Cc1cc2sc([*])cc2s1,Egc,1.561
3,[*]C#CC#Cc1cc2sc([*])cc2s1,eib,1.023394279
4,[*]C#CC#Cc1ccc([*])cc1,Egc,2.103
5,[*]C#CC#Cc1ccc([*])cc1,eib,1.085136551
6,[*]C#CC#Cc1ccc([*])s1,Egc,1.5989
7,[*]C#CC#Cc1ccc([*])s1,eib,0.90521369
8,[*]C#CC#Cc1ccc(-c2ccc([*])s2)s1,Egc,1.6029
9,[*]C#CC#Cc1ccc(-c2ccc([*])s2)s1,eib,1.194723113
10,[*]C#CC#CCCCCCCCC[*],Egc,5.4425
11,[*]C#CC#CCCCCCCCC[*],eib,3.563946462
12,[*]C#CC(=C([*])c1ccccc1)c1ccccc1,Egc,0.8844
13,[*]C#CC(=C([*])c1ccccc1)c1ccccc1,eib,1.108460832
14,[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,Egc,0.7215
15,[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,Egcr,0.5725
16,[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,eib,0.873919158
17,[*]C#CC(CCCCOC(=O)NCC(=O)OCCCC)=C([*])c1cncnc1,Egc,2.9465
18,[*]C#CC(CCCCOC(=O)NCCC)=C([*])CCCCOC(=O)NCCC,Egc,1.0016
19,[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,Egc,1.3335
20,[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,eib,1.02485041
21,[*]C#CC=C[*],Egc,1.2297
22,[*]C#CC=C[*],Egcr,1.3369
23,[*]C#CC=C[*],eib,0.533906286
24,[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,Egc,2.7755
25,[*]C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c([*])s2)c(F)c1F,eib,1.219660742
26,[*]C#Cc1cc(C#Cc2cc(N)c([*])cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,Egc,2.8068
27,[*]C#Cc1cc(CCCCCC)c([*])s1,Egc,1.5455
